127.0.0.1, 2014-07-15 10:22:54, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000510
127.0.0.1, 2014-07-15 10:22:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2014-07-15 10:22:57, POST, /admin/default/index, HTTP/1.1, 303, 0.049047
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.053328
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001121
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002579
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001376
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.020406
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.021210
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.038060
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001425
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002364
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001998
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001732
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001240
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001794
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002456
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001021
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.003552
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003239
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001268
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002155
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003519
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001544
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.003238
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002474
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002224
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003541
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002210
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001798
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002321
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001434
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.003058
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000660
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001465
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000954
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.000850
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.001817
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002520
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 304, 0.001059
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 304, 0.000442
127.0.0.1, 2014-07-15 10:22:57, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000290
127.0.0.1, 2014-07-15 10:22:58, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000342
127.0.0.1, 2014-07-15 10:22:58, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000364
127.0.0.1, 2014-07-15 10:22:58, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.001289
127.0.0.1, 2014-07-15 10:22:58, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.059879
127.0.0.1, 2014-07-15 10:22:58, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.062189
127.0.0.1, 2014-07-15 10:22:58, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000569
127.0.0.1, 2014-07-15 10:22:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.139895
127.0.0.1, 2014-07-15 10:22:58, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.184227
127.0.0.1, 2014-07-15 10:22:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000274
127.0.0.1, 2014-07-15 10:22:58, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.317748
127.0.0.1, 2014-07-15 10:23:19, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.035103
127.0.0.1, 2014-07-15 10:23:19, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.011714
127.0.0.1, 2014-07-15 10:23:22, GET, /admin/default/edit/welcome/models/menu.py, HTTP/1.1, 200, 0.036018
127.0.0.1, 2014-07-15 10:23:22, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.011878
127.0.0.1, 2014-07-15 10:28:53, GET, /, HTTP/1.1, 303, 0.003885
127.0.0.1, 2014-07-15 10:28:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.274697
127.0.0.1, 2014-07-15 10:29:00, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000642
127.0.0.1, 2014-07-15 10:29:01, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000439
127.0.0.1, 2014-07-15 10:29:03, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.173309
127.0.0.1, 2014-07-15 10:29:14, GET, /admin/default/site, HTTP/1.1, 200, 0.654638
127.0.0.1, 2014-07-15 10:29:14, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.001339
127.0.0.1, 2014-07-15 10:29:14, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.000717
127.0.0.1, 2014-07-15 10:29:15, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000449
127.0.0.1, 2014-07-15 10:29:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2014-07-15 10:29:18, POST, /admin/default/check_version, HTTP/1.1, 200, 3.580432
127.0.0.1, 2014-07-15 10:31:29, POST, /admin/default/site, HTTP/1.1, 303, 0.251314
127.0.0.1, 2014-07-15 10:31:29, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.164620
127.0.0.1, 2014-07-15 10:31:30, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001140
127.0.0.1, 2014-07-15 10:31:30, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 304, 0.002250
127.0.0.1, 2014-07-15 10:31:30, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000615
127.0.0.1, 2014-07-15 10:31:30, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 304, 0.002474
127.0.0.1, 2014-07-15 10:31:30, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.004263
127.0.0.1, 2014-07-15 10:31:30, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000771
127.0.0.1, 2014-07-15 10:31:30, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000460
127.0.0.1, 2014-07-15 10:31:30, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000443
127.0.0.1, 2014-07-15 10:31:30, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000629
127.0.0.1, 2014-07-15 10:31:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000265
127.0.0.1, 2014-07-15 11:26:57, GET, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.312052
127.0.0.1, 2014-07-15 11:26:58, GET, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.082353
127.0.0.1, 2014-07-15 11:26:58, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.046088
127.0.0.1, 2014-07-15 11:26:58, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.134773
127.0.0.1, 2014-07-15 11:26:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.167232
127.0.0.1, 2014-07-15 11:26:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2014-07-15 11:26:58, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.240805
127.0.0.1, 2014-07-15 11:27:19, POST, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.040703
127.0.0.1, 2014-07-15 11:27:23, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.182630
127.0.0.1, 2014-07-15 11:27:23, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.141180
127.0.0.1, 2014-07-15 11:27:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000269
127.0.0.1, 2014-07-15 11:27:45, GET, /admin/default/peek/hello_world/views/default/index.html, HTTP/1.1, 200, 0.046672
127.0.0.1, 2014-07-15 11:27:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2014-07-15 11:27:53, GET, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.045174
127.0.0.1, 2014-07-15 11:27:53, GET, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.040684
127.0.0.1, 2014-07-15 11:27:53, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.037704
